instance_id,compact,dp_flow,arc_flow,set_cover,set_partition
sage_original_BPP_0107_5247f0d208,1,1,0,1,1
sage_original_BPP_0108_210566ae89,1,1,0,1,1
sage_original_BPP_0109_ebfc409e73,1,1,0,1,1
sage_original_BPP_0110_3dad17cb40,1,1,0,1,1
sage_original_BPP_0111_6926d05b64,1,1,0,1,1
sage_original_BPP_0112_d5bb6881c6,1,1,0,1,1
sage_original_BPP_0113_a8e036b579,1,1,0,1,1
sage_original_BPP_0114_a0fb36dd60,1,1,0,1,1
sage_original_BPP_0115_9cf3093205,1,1,0,1,1
sage_original_BPP_0116_de146e1c67,1,1,0,1,1
sage_original_BPP_0117_8f62f3084b,1,1,0,1,1
sage_original_BPP_0118_c43acbab59,1,1,0,1,1
sage_original_BPP_0119_d76a3dc78d,1,1,0,1,1
sage_original_BPP_0120_2e7e5af4d2,1,1,0,1,1
sage_original_BPP_0121_47156f7917,1,1,0,1,1
sage_original_BPP_0122_f5c7dc9596,1,1,0,1,1
sage_original_BPP_0123_1982460d95,1,1,0,1,1
sage_original_BPP_0124_004b9fc3ab,1,1,0,1,1
sage_original_BPP_0125_3c18a312c0,1,1,0,1,1
sage_original_BPP_0126_cf0c2a33e6,1,1,0,1,1
sage_original_BPP_0127_2815c86007,1,1,0,1,1
sage_original_BPP_0128_324ccf4a1a,1,1,0,1,1
sage_original_BPP_0129_6102edaf96,1,1,0,1,1
sage_original_BPP_0130_e5d3607449,1,1,0,1,1
sage_original_BPP_0131_0aef5b3de4,1,1,0,1,1
sage_original_BPP_0132_0d4360d065,1,1,0,1,1
sage_original_BPP_0133_0c46e44658,1,1,0,1,1
sage_original_BPP_0134_7ddb095217,1,1,0,1,1
sage_original_BPP_0135_a84ce41e59,1,1,0,1,1
sage_original_BPP_0136_1b221a2ee5,1,1,0,1,1
sage_original_BPP_0137_7c01066666,1,1,0,1,1
sage_original_BPP_0138_430515778c,1,1,0,1,1
sage_original_BPP_0139_89cacbd5ce,1,1,0,1,1
sage_original_BPP_0140_a097ce4bed,1,1,0,1,1
sage_original_BPP_0141_c58f270a6a,1,1,0,1,1
sage_original_BPP_0142_3fc5ed7642,1,1,1,1,1
sage_original_BPP_0143_ee2ee09417,1,1,0,1,1
sage_original_BPP_0144_d61837c1df,1,1,0,1,1
sage_original_BPP_0145_063dc7c6f9,1,1,0,1,1
sage_original_BPP_0146_c6c858b860,1,1,0,1,1
sage_original_BPP_0147_5dcc9c3f57,1,1,0,1,1
